dataid,utc,use,air1,air2,air3,airwindowunit1,aquarium1,bathroom1,bathroom2,bedroom1,bedroom2,bedroom3,bedroom4,bedroom5,clotheswasher1,clotheswasher_dryg1,diningroom1,diningroom2,dishwasher1,disposal1,drye1,dryg1,freezer1,furnace1,furnace2,garage1,garage2,heater1,housefan1,icemaker1,jacuzzi1,kitchen1,kitchen2,kitchenapp1,kitchenapp2,lights_plugs1,lights_plugs2,lights_plugs3,lights_plugs4,lights_plugs5,lights_plugs6,livingroom1,livingroom2,microwave1,office1,outsidelights_plugs1,outsidelights_plugs2,oven1,oven2,pool1,pool2,poollight1,poolpump1,pump1,range1,refrigerator1,refrigerator2,security1,shed1,sprinkler1,subpanel1,subpanel2,unknown1,unknown2,unknown3,unknown4,utilityroom1,venthood1,waterheater1,waterheater2,winecooler1
6673,1/1/14,0.678,0.034,,,,,,,,,,,,0.000,,,,,,0.004,,,0.008,,0.090,,,,,,0.046,,0.000,,0.089,0.000,,,,,0.311,,,,,,,,,,,,,,0.067,,,,,0.578,,,,,,,,,,
6673,1/1/14 0:15,0.715,0.034,,,,,,,,,,,,0.000,,,,,,0.004,,,0.008,,0.094,,,,,,0.077,,0.000,,0.057,0.000,,,,,0.333,,,,,,,,,,,,,,0.058,,,,,0.611,,,,,,,,,,
6673,1/1/14 0:30,0.698,0.034,,,,,,,,,,,,0.000,,,,,,0.004,,,0.008,,0.089,,,,,,0.083,,0.000,,0.044,0.000,,,,,0.341,,,,,,,,,,,,,,0.042,,,,,0.595,,,,,,,,,,
6673,1/1/14 0:45,0.579,0.034,,,,,,,,,,,,0.000,,,,,,0.004,,,0.008,,0.075,,,,,,0.010,,0.000,,0.030,0.000,,,,,0.251,,,,,,,,,,,,,,0.095,,,,,0.489,,,,,,,,,,
6673,1/1/14 1:00,0.438,0.034,,,,,,,,,,,,0.000,,,,,,0.004,,,0.008,,0.074,,,,,,0.000,,0.000,,0.027,0.000,,,,,0.245,,,,,,,,,,,,,,0.008,,,,,0.361,,,,,,,,,,
6673,1/1/14 1:15,0.618,0.034,,,,,,,,,,,,0.000,,,,,,0.004,,,0.117,,0.074,,,,,,0.000,,0.000,,0.027,0.000,,,,,0.245,,,,,,,,,,,,,,0.113,,,,,0.523,,,,,,,,,,
6673,1/1/14 1:30,0.492,0.034,,,,,,,,,,,,0.000,,,,,,0.004,,,0.013,,0.075,,,,,,0.000,,0.000,,0.027,0.000,,,,,0.244,,,,,,,,,,,,,,0.013,,,,,0.409,,,,,,,,,,
6673,1/1/14 1:45,0.474,0.034,,,,,,,,,,,,0.000,,,,,,0.004,,,0.008,,0.075,,,,,,0.000,,0.000,,0.027,0.000,,,,,0.244,,,,,,,,,,,,,,0.060,,,,,0.393,,,,,,,,,,
6673,1/1/14 2:00,0.511,0.034,,,,,,,,,,,,0.000,,,,,,0.004,,,0.008,,0.075,,,,,,0.000,,0.000,,0.027,0.000,,,,,0.245,,,,,,,,,,,,,,0.066,,,,,0.427,,,,,,,,,,
6673,1/1/14 2:15,0.563,0.035,,,,,,,,,,,,0.000,,,,,,0.004,,,0.121,,0.074,,,,,,0.000,,0.000,,0.027,0.000,,,,,0.244,,,,,,,,,,,,,,0.008,,,,,0.473,,,,,,,,,,
6673,1/1/14 2:30,0.548,0.034,,,,,,,,,,,,0.000,,,,,,0.004,,,0.008,,0.075,,,,,,0.000,,0.000,,0.027,0.000,,,,,0.245,,,,,,,,,,,,,,0.119,,,,,0.462,,,,,,,,,,
6673,1/1/14 2:45,0.440,0.035,,,,,,,,,,,,0.000,,,,,,0.004,,,0.008,,0.075,,,,,,0.000,,0.000,,0.027,0.000,,,,,0.246,,,,,,,,,,,,,,0.008,,,,,0.362,,,,,,,,,,
6673,1/1/14 3:00,0.623,0.035,,,,,,,,,,,,0.000,,,,,,0.004,,,0.121,,0.075,,,,,,0.000,,0.000,,0.027,0.000,,,,,0.246,,,,,,,,,,,,,,0.082,,,,,0.527,,,,,,,,,,
6673,1/1/14 3:15,0.493,0.035,,,,,,,,,,,,0.000,,,,,,0.004,,,0.008,,0.075,,,,,,0.000,,0.000,,0.027,0.000,,,,,0.246,,,,,,,,,,,,,,0.045,,,,,0.410,,,,,,,,,,
6673,1/1/14 3:30,0.445,0.035,,,,,,,,,,,,0.000,,,,,,0.004,,,0.008,,0.075,,,,,,0.000,,0.000,,0.027,0.000,,,,,0.247,,,,,,,,,,,,,,0.028,,,,,0.367,,,,,,,,,,
6673,1/1/14 3:45,0.654,0.035,,,,,,,,,,,,0.000,,,,,,0.004,,,0.105,,0.075,,,,,,0.000,,0.000,,0.027,0.000,,,,,0.247,,,,,,,,,,,,,,0.097,,,,,0.554,,,,,,,,,,
